name,isPartyConstant,partyCount,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isAlga,isAdilet,isOther,isDvijAtajurt,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser,idname
Бабанов Омурбек Токтогулович,1,3,0,93,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,Independent,,Republic,Republic - Ata Jurt",5,Republic,2.0,78
Бабанов Омурбек Токтогулович,1,3,0,89,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,Independent,,Republic,Republic - Ata Jurt",6,Republic - Ata Jurt,2.0,78
Бадыкеева Нуржана Нуралиевна,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ar-Namys,",5,Ar-Namys,,79
Баекова Чолпон Турсуновна,0,1,0,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,80
Базаркулова Гульмира Мукашевна,0,1,0,74,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,81
Байбакпаев Экмат Джурукпаевич,0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,",,,,,Republic - Ata Jurt",6,Republic - Ata Jurt,,82
Байболов Кубатбек Калбекович,0,3,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,Independent,Independent,,,",1,Independent,1.0,83
Байболов Кубатбек Калбекович,0,3,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,Independent,Independent,,,",2,Independent,1.0,83
Байболов Кубатбек Калбекович,0,3,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,Independent,Independent,,,",3,Independent,1.0,83
Байбураева Айгуль Бекишовна,0,1,0,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,84
Байкоджоев Болот Мукашевич,0,2,0,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,Independent,,,,",1,Independent,1.0,85
Байкоджоев Болот Мукашевич,0,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,Independent,,,,",2,Independent,1.0,85
Байло Николай Иванович,0,2,0,70,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,Communist party,,",2,Independent,2.0,86
Байло Николай Иванович,0,2,0,83,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,Communist party,,",4,Communist party,2.0,86
Баймуратов Калдарбек Шакирович,0,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,",,,,,Republic - Ata Jurt",6,Republic - Ata Jurt,,87
Байсалов Эркин Абдыкадырович,0,1,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Independent,,,",3,Independent,,88
Байтиков Асанбек Байдолотович,0,1,0,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,89
Бакиев Осмонбек Керимбаевич,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,90
Бакир уулу Турсунбай,0,3,0,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Independent,Independent,,,Ar-Namys,",1,Independent,3.0,91
Бакир уулу Турсунбай,0,3,0,69,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Independent,Independent,,,Ar-Namys,",2,Independent,3.0,91
Бакир уулу Турсунбай,0,3,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Independent,Independent,,,Ar-Namys,",5,Ar-Namys,3.0,91
Бакиров Мирлан Исакбекович,0,2,1,76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,",,,,Republic,Onuguu-progress",5,Republic,1.0,92
Бакиров Мирлан Исакбекович,0,2,1,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,",,,,Republic,Onuguu-progress",6,Onuguu-progress,1.0,92
Бакиров Омурбек Мирзараимович,0,1,0,128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,SDPK",6,SDPK,,93
Бакчиев Джаныбек Абдукапарович,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,",,,,,Bir Bol",6,Bir Bol,,94
